,null/alternative,sample size,test,power/level
0,power,100,ksdagg,0.115
1,power,100,median,0.03
2,power,100,split,0.035
3,power,100,split_extra_data,0.045
4,level,100,ksdagg,0.05
5,level,100,median,0.04
6,level,100,split,0.05
7,level,100,split_extra_data,0.04
8,power,200,ksdagg,0.36
9,power,200,median,0.025
10,power,200,split,0.11
11,power,200,split_extra_data,0.145
12,level,200,ksdagg,0.06
13,level,200,median,0.055
14,level,200,split,0.05
15,level,200,split_extra_data,0.055
16,power,300,ksdagg,0.65
17,power,300,median,0.06
18,power,300,split,0.135
19,power,300,split_extra_data,0.26
20,level,300,ksdagg,0.045
21,level,300,median,0.085
22,level,300,split,0.05
23,level,300,split_extra_data,0.085
24,power,400,ksdagg,0.845
25,power,400,median,0.07
26,power,400,split,0.105
27,power,400,split_extra_data,0.295
28,level,400,ksdagg,0.04
29,level,400,median,0.055
30,level,400,split,0.03
31,level,400,split_extra_data,0.055
32,power,500,ksdagg,0.945
33,power,500,median,0.06
34,power,500,split,0.2
35,power,500,split_extra_data,0.315
36,level,500,ksdagg,0.035
37,level,500,median,0.045
38,level,500,split,0.04
39,level,500,split_extra_data,0.045
